Date,Price,Open,High,Low,Vol.,Change %
"Oct 01, 2022",19311.90,19422.90,19480.30,19172.60,173.91K,-0.01
"Sep 30, 2022",19423.00,19593.40,20174.90,19208.90,490.29K,-0.01
"Sep 29, 2022",19593.00,19420.20,19631.50,18877.90,449.57K,0.01
"Sep 28, 2022",19411.00,19083.40,19757.80,18505.30,581.19K,0.02
"Sep 27, 2022",19081.00,19228.80,20361.20,18850.40,660.12K,-0.01
"Sep 26, 2022",19225.70,18803.10,19304.80,18695.20,516.03K,0.02
"Sep 25, 2022",18803.20,18925.10,19125.10,18659.60,209.71K,-0.01
"Sep 24, 2022",18925.20,19288.40,19310.60,18812.00,258.50K,-0.02
"Sep 23, 2022",19293.50,19404.10,19477.30,18554.80,431.15K,-0.01
"Sep 22, 2022",19404.00,18488.10,19490.90,18371.00,448.63K,0.05
"Sep 21, 2022",18489.00,18875.10,19758.40,18191.80,446.85K,-0.02
"Sep 20, 2022",18872.40,19538.90,19626.30,18742.60,361.18K,-0.03
"Sep 19, 2022",19538.90,19417.40,19666.60,18277.80,423.43K,0.01
"Sep 18, 2022",19418.80,20113.90,20113.90,19347.70,273.11K,-0.03
"Sep 17, 2022",20113.50,19802.80,20178.60,19761.00,204.58K,0.02
"Sep 16, 2022",19802.40,19701.90,19883.00,19352.90,315.59K,0.01
"Sep 15, 2022",19701.70,20222.30,20321.40,19532.30,358.42K,-0.03
"Sep 14, 2022",20222.50,20175.50,20503.70,19654.20,374.22K,0.00
"Sep 13, 2022",20175.50,22395.30,22702.50,19909.60,485.32K,-0.10
"Sep 12, 2022",22395.30,21836.60,22465.40,21581.60,431.98K,0.03
"Sep 11, 2022",21834.90,21650.40,21836.40,21363.00,297.12K,0.01
"Sep 10, 2022",21650.40,21363.80,21790.60,21139.90,331.12K,0.01
"Sep 09, 2022",21365.20,19318.80,21545.70,19294.10,480.37K,0.11
"Sep 08, 2022",19317.40,19281.50,19444.70,19034.50,291.43K,0.00
"Sep 07, 2022",19281.50,18786.30,19445.90,18548.40,319.10K,0.03
"Sep 06, 2022",18786.40,19793.40,20169.30,18723.30,402.43K,-0.05
"Sep 05, 2022",19793.10,19999.90,20042.90,19650.70,238.71K,-0.01
"Sep 04, 2022",19999.90,19832.20,20017.80,19594.70,158.27K,0.01
"Sep 03, 2022",19831.40,19952.80,20043.80,19660.70,157.85K,-0.01
"Sep 02, 2022",19952.70,20131.60,20428.20,19764.70,272.22K,-0.01
"Sep 01, 2022",20126.10,20049.90,20202.70,19584.40,275.08K,0.00
"Aug 31, 2022",20043.90,19793.40,20469.10,19793.40,318.17K,0.01
"Aug 30, 2022",19792.60,20295.60,20558.20,19559.70,308.41K,-0.02
"Aug 29, 2022",20295.80,19551.30,20394.50,19551.20,248.04K,0.04
"Aug 28, 2022",19550.20,20034.20,20150.80,19542.90,159.60K,-0.02
"Aug 27, 2022",20033.90,20249.90,20343.60,19849.80,187.34K,-0.01
"Aug 26, 2022",20249.90,21564.20,21815.30,20122.40,322.16K,-0.06
"Aug 25, 2022",21565.40,21365.40,21801.20,21324.80,190.15K,0.01
"Aug 24, 2022",21365.20,21516.20,21832.30,21171.10,202.40K,-0.01
"Aug 23, 2022",21517.20,21416.50,21661.00,20919.60,228.65K,0.00
"Aug 22, 2022",21416.30,21516.80,21517.40,20912.10,251.83K,0.00
"Aug 21, 2022",21517.20,21138.90,21692.40,21077.40,177.52K,0.02
"Aug 20, 2022",21138.90,20830.70,21357.40,20784.80,206.94K,0.01
"Aug 19, 2022",20831.30,23201.60,23202.30,20807.80,339.47K,-0.10
"Aug 18, 2022",23203.60,23337.70,23578.00,23131.30,160.97K,-0.01
"Aug 17, 2022",23338.00,23855.80,24423.50,23191.60,239.53K,-0.02
"Aug 16, 2022",23856.80,24102.60,24240.80,23693.80,201.70K,-0.01
"Aug 15, 2022",24101.70,24303.30,25205.70,23784.50,279.28K,-0.01
"Aug 14, 2022",24302.80,24442.10,24997.30,24172.20,177.25K,-0.01
"Aug 13, 2022",24442.50,24398.90,24882.90,24318.70,170.59K,0.00
"Aug 12, 2022",24398.70,23935.30,24440.80,23616.40,194.96K,0.02
"Aug 11, 2022",23935.30,23963.30,24873.50,23864.00,285.36K,0.00
"Aug 10, 2022",23962.90,23150.30,24209.90,22714.70,243.61K,0.04
"Aug 09, 2022",23146.70,23818.10,23912.00,22886.50,169.62K,-0.03
"Aug 08, 2022",23816.30,23175.30,24234.10,23160.60,197.94K,0.03
"Aug 07, 2022",23175.30,22944.20,23387.70,22852.30,99.36K,0.01
"Aug 06, 2022",22944.20,23308.20,23344.40,22923.60,94.44K,-0.02
"Aug 05, 2022",23308.20,22613.30,23447.60,22593.50,208.90K,0.03
"Aug 04, 2022",22612.10,22822.20,23214.50,22438.70,181.19K,-0.01
"Aug 03, 2022",22820.80,22988.70,23623.70,22698.60,174.66K,-0.01
"Aug 02, 2022",22988.60,23271.10,23423.30,22670.80,177.30K,-0.01
"Aug 01, 2022",23271.20,23303.40,23484.40,22863.80,162.33K,0.00
"Jul 31, 2022",23303.40,23634.20,24179.30,23236.20,138.84K,-0.01
"Jul 30, 2022",23634.20,23774.20,24605.30,23521.80,168.72K,-0.01
"Jul 29, 2022",23774.30,23850.20,24340.00,23451.40,221.66K,0.00
"Jul 28, 2022",23850.00,22957.70,24190.50,22611.60,268.32K,0.04
"Jul 27, 2022",22958.30,21248.00,23027.80,21047.50,242.66K,0.08
"Jul 26, 2022",21248.70,21301.60,21322.30,20737.30,201.57K,0.00
"Jul 25, 2022",21301.90,22582.30,22653.30,21275.40,206.93K,-0.06
"Jul 24, 2022",22582.10,22449.80,22987.90,22281.30,126.66K,0.01
"Jul 23, 2022",22460.40,22683.60,22991.00,21971.70,137.42K,-0.01
"Jul 22, 2022",22675.20,23150.00,23741.40,22524.20,197.54K,-0.02
"Jul 21, 2022",23153.00,23219.90,23403.80,22360.20,217.08K,0.00
"Jul 20, 2022",23215.20,23412.00,24258.00,22944.40,281.31K,-0.01
